division_template = {
	name = "CHANGE THIS TEMPLATE!"
	regiments = {
		infantry = { x = 0 y = 0 } 
	}
	
	support = { }
}

units = {
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 6196 division_template = "CHANGE THIS TEMPLATE!" }
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 6196 division_template = "CHANGE THIS TEMPLATE!" }
	
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 13003 division_template = "CHANGE THIS TEMPLATE!" }
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 13003 division_template = "CHANGE THIS TEMPLATE!" }
	
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 12674 division_template = "CHANGE THIS TEMPLATE!" }
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 12674 division_template = "CHANGE THIS TEMPLATE!" }
	
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 12512 division_template = "CHANGE THIS TEMPLATE!" }
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 12512 division_template = "CHANGE THIS TEMPLATE!" }
	
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 1751 division_template = "CHANGE THIS TEMPLATE!" }
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 1751 division_template = "CHANGE THIS TEMPLATE!" }
	
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 3118 division_template = "CHANGE THIS TEMPLATE!" }
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 3118 division_template = "CHANGE THIS TEMPLATE!" }
	
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 13071 division_template = "CHANGE THIS TEMPLATE!" }
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 13071 division_template = "CHANGE THIS TEMPLATE!" }
	
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 13014 division_template = "CHANGE THIS TEMPLATE!" }
	
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 13010 division_template = "CHANGE THIS TEMPLATE!" }
	
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 3284 division_template = "CHANGE THIS TEMPLATE!" }
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 3284 division_template = "CHANGE THIS TEMPLATE!" }
	
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 4982 division_template = "CHANGE THIS TEMPLATE!" }
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 4982 division_template = "CHANGE THIS TEMPLATE!" }
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 4982 division_template = "CHANGE THIS TEMPLATE!" }
	
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 12828 division_template = "CHANGE THIS TEMPLATE!" }
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 12828 division_template = "CHANGE THIS TEMPLATE!" }
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 12828 division_template = "CHANGE THIS TEMPLATE!" }
	
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 12885 division_template = "CHANGE THIS TEMPLATE!" }
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 12885 division_template = "CHANGE THIS TEMPLATE!" }
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 12885 division_template = "CHANGE THIS TEMPLATE!" }
	
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 7617 division_template = "CHANGE THIS TEMPLATE!" }
	
	division = { start_equipment_factor = 0.01 start_experience_factor = 0.3 location = 13542 division_template = "CHANGE THIS TEMPLATE!" }
}
