l_russian: 
SOV_glavoenstroy: "Главвоенстрой"
SOV_glavoenstroy_desc: " "
SOV_country_of_victorious_socialism: "Страна победившего социализма"
SOV_country_of_victorious_socialism_desc: "Статья 1.  Союз Советских  Социалистических  Республик  есть социалистическое государство рабочих и крестьян. "
SOV_politburo_of_the_ussr: "Политбюро СССР"
SOV_politburo_of_the_ussr_desc: " "
SOV_father_of_nations: "Отец Народов"
SOV_father_of_nations_desc: " "
SOV_form_the_stavka: "Сформировать Ставку"
SOV_form_the_stavka_desc: " "
SOV_formation_NKVD_divisions: "Формирование дивизий НКВД"
SOV_formation_NKVD_divisions_desc: " "
SOV_komsomol: "Расширить Комсомол"
SOV_komsomol_desc: " "
SOV_georgy_malenkov: "Георгий Маленков"
SOV_appoint_Malenkov: "Назначить Маленкова"
SOV_appoint_Malenkov_desc: " "
SOV_georgy_malenkov_tt: "§YГеоргий Маленков§!"
SOV_people_commissariat_of_aircraft_construction: "НК авиационной промышленности"
SOV_people_commissariat_of_aircraft_construction_desc: " "
SOV_peoples_commissariat_of_armament: "НК вооружения"
SOV_peoples_commissariat_of_armament_desc: " "
SOV_upgrade_dyagterevs_machine_guns: "Улучшить пулемёты Дягтерёва"
SOV_upgrade_dyagterevs_machine_guns_desc: " "
SOV_bulldozer_blade: "Специальное оборудование"
SOV_bulldozer_blade_desc: " "
SOV_shock_armies: "Штурмовые группы"
SOV_shock_armies_desc: " "
SOV_deep_battle: "Тактика глубокой битвы"
SOV_deep_battle_desc: " "
SOV_operation_bagration: "§YНаша Родина. Наши Люди. Наша Кровь§!"
SOV_operation_bagration_desc: "Наше отступление подошло к концу. Враг истощен. Пришло время нанести удар, от которого фашизм уже никогда не оправится."
SOV_adaptive_army: "Адаптирующаяся армия"
SOV_adaptive_army_desc: " " 
SOV_peoples_commissariat_of_supply: "НК снабжения"
SOV_peoples_commissariat_of_supply_desc: " "
SOV_the_modern_war_in_the_skies_yellow: "Современная война в небе"
SOV_the_modern_war_in_the_skies_yellow_desc: " "
SOV_winter_counteroffensive: "Зимнее контрнаступление"
SOV_winter_counteroffensive_desc: " "
SOV_operation_kutuzov: "Операция «Кутузов»"
SOV_operation_kutuzov_desc: " "
SOV_operation_bagration_dec: "§YОперация «Багратион»§!"
SOV_operation_uran_dec: "§YОперация «Уран»§!"
SOV_winter_counteroffensive_dec: "§YЗимнее контрнаступление§!"
SOV_operation_bagration_idea: "Операция «§YБагратион§!»"
SOV_operation_uran_idea: "§YОперация «Уран»§!"
SOV_winter_counteroffensive_idea: "§YЗимнее контрнаступление§!"
SOV_operations: "Ставка"
SOV_stavka_dm: "Ставка"
SOV_stavka_dm_tt: "§Y$SOV_stavka_dm$§! изменится на:"
SOV_kursk_defensive_operation: "Курская оборонительная операция"
SOV_kursk_defensive_operation_desc: " "
SOV_kursk_defensive_operation_dec: "§YКурская оборонительная операция§!"
SOV_kursk_defensive_operation_idea: "§YКурская оборонительная операция§!"
SOV_special_powers: "Специальные заказы"
SOV_special_powers_desc: " "
SOV_politburo_dm: "Политбюро СССР"
SOV_politburo_dm_tt: "§Y$SOV_politburo$§! изменится на:"
SOV_economy_dm: "Пятилетний план"
SOV_economy_dm_tt: "§Y$SOV_economy_dm_tt$§! изменится на:"
SOV_forced_industrialization: "Форсированная индустриализация"
SOV_forced_industrialization_desc: " "
SOV_gosplan_ussr: "Госплан СССР"
SOV_gosplan_ussr_desc: " "
